original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,subcategory_id,description
40626,NULL,Welded Wire Single Swing Gate Kit,AFSWGK43,NULL,195,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40627,NULL,Welded Wire Single Swing Gate Kit,AFSWGK44,NULL,200,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40628,NULL,Welded Wire Single Swing Gate Kit,AFSWGK45,NULL,225,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40629,NULL,Welded Wire Single Swing Gate Kit,AFSWGK53,NULL,210,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40630,NULL,Welded Wire Single Swing Gate Kit,AFSWGK54,NULL,225,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40631,NULL,Welded Wire Single Swing Gate Kit,AFSWGK55,NULL,240,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40632,NULL,Welded Wire Single Swing Gate Kit,AFSWGK63,NULL,265,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40633,NULL,Welded Wire Single Swing Gate Kit,AFSWGK65,NULL,280,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40634,NULL,Welded Wire Single Swing Gate Kit,AFSWGL66,NULL,295,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40799,NULL,Welded Wire Double Swing Gate Kit,AFSWGK46,NULL,345,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40800,NULL,Welded Wire Double Swing Gate Kit,AFSWGK48,NULL,365,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40801,NULL,Welded Wire Double Swing Gate Kit,AFSWGK410,NULL,390,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40802,NULL,Welded Wire Double Swing Gate Kit,AFSWGK56,NULL,375,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
40803,NULL,Welded Wire Double Swing Gate Kit,AFSWGK58,NULL,395,0,1,11,"Welded Wire Gate Frame Kits, by Academy Fence, include welded pipe gate frames, gate posts and all the necessary hardware to attach your wire to the frame. Plus the hinges and latch to hang the gate on the posts. Everything is included to assemble the gate except the wire to cover the gate. All material is hot dipped galvanized."
